Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Abiby,https://www.crunchbase.com/organization/abiby,"Cosmetics, E-Commerce, Internet, Retail",Abiby is the italian leading platform that offers subscription services to discover and try new beauty brand and products.,"21,993",11-50,2019-03-01,2018-01-01,month,https://www.linkedin.com/company/abiby/,https://www.abiby.it/,mario@abiby.it,,,"Luca Della Croce di Dojola, Mario Parteli",Seed,Seed,,,2,"TA Ventures, Teodoro D'Ambrosio, Alberto Genovese",,,,,1500000,EUR,1705272
Vamp.io,https://www.crunchbase.com/organization/vamp-io,"Cloud Infrastructure, Developer Tools, E-Commerce, Internet, IT Infrastructure, Mobile, PaaS, SaaS, Software, Test and Measurement",Vamp is a smart & stress free canary testing & releasing for modern cloud platforms.,"22,017",1-10,2019-05-08,2013-01-01,year,http://www.linkedin.com/company/magnetic-io,http://vamp.io,info@vamp.io,+31(0)88 555 33 99,,"Hermen Heinen, Olaf Molenveld, Tim Nolet",Series A,Early Stage Venture,,,3,"Startupbootcamp, Volta Ventures, Vortex Capital Partners, Startupbootcamp Commerce Amsterdam, Henri de Jong",,,,,2500000,EUR,2799505
Villoid,https://www.crunchbase.com/organization/villoid,"Apps, E-Commerce, Fashion, Shopping","Villoid offers a shopping app that enables shoppers to find and buy products from a range of brands, and share and follow fashion trends.","22,186",11-50,2019-04-10,2015-01-01,year,https://www.linkedin.com/company/10219177,https://www.villoid.com/,hello@villoid.com,,,"Jarle Snertingdalen, Jeanette Dyhre Kvisvik, Karin Kaellman",Venture - Series Unknown,,,,3,"500 Startups, Investinor, Andreas Randel, Mikael Randel",,,,,5500000,USD,5500000
Maria Health,https://www.crunchbase.com/organization/maria-health,"E-Commerce, Health Care, Internet",Maria Health created a place online where people can easily compare what the top healthcare brands have to offer.,"22,187",11-50,2019-05-13,2015-01-01,year,https://www.linkedin.com/company/maria-health/,https://mariahealth.ph/,hello@mariahealth.ph,+63 947 245 0141,,Vincent Lau,Seed,Seed,,,1,"tryb Group, Wavemaker Partners, Gobi Partners, Core Capital",,,,,1000000,USD,1000000
The Beer Café,https://www.crunchbase.com/organization/the-beer-caf,"E-Commerce, Food and Beverage, Hospitality, Information Technology, Restaurants",The Beer Café operates an alco-beverage restaurant chain in India.,"22,336",11-50,2019-01-01,2012-03-17,day,https://www.linkedin.com/company/btb-marketing-pvt-ltd-/,http://thebeercafe.com/,info@thebeercafe.com,91 12 4466 5371,,Rahul Singh,Venture - Series Unknown,,,,1,"Mayfield Fund, RB Investments Pte. Ltd., Granite Hill Capital Partners, Sharrp Ventures",,,,,,,
Original Stitch,https://www.crunchbase.com/organization/original-stitch,"Artificial Intelligence, Big Data, E-Commerce",Originial Stitch builds software to give you the power to customize your own dress shirts to match your unique style.,"22,556",1-10,2019-03-26,2015-06-03,day,https://www.linkedin.com/company/original-stitch,https://originalstitch.com/,support@originalstitch.com,,,Jin Koh,Seed,Seed,,,1,"Social Starts, NTT DoCoMo, Chasella, Inspire Ventures, Edith Yeung",,,,,,,
Yourpay,https://www.crunchbase.com/organization/yourpay,"E-Commerce, Financial Services, FinTech, Payments, Point of Sale",Yourpay is a payment facilitator and offers a payment gateway and aquiring services for e-commerce and POS for B2B,"22,585",11-50,2019-01-11,2013-05-15,day,https://www.linkedin.com/company-beta/10016596/,https://www.yourpay.io/,support@yourpay.io,(705)556-78,,Mathias Gajhede,Venture - Series Unknown,,,,1,"Artha Kapitalforvaltning, Nordica Capital Partners",,,,,22000000,DKK,3379935
Tso Chinese Delivery,https://www.crunchbase.com/organization/tso-chinese-delivery,"Delivery, E-Commerce, Food and Beverage, Food Delivery, Restaurants, Same Day Delivery","Chinese cuisine ghost restaurant running on a custom built vertically streamlined e-commerce, kitchen and delivery management platform","22,764",11-50,2019-05-26,2016-01-01,year,https://www.linkedin.com/company/tso-chinese-delivery/,https://tsodelivery.com,nihao@tsodelivery.com,512-774-4876,,"Angell Tsang, Eunice Tsang, Gabe Ahn, Gavin Booth, Jenna Choe, Min Choe",Seed,Seed,,,6,"Brett Hurt, Brian Spaly, Walter Robb, Paul Hedrick, Rob Chesney",,,,,2200000,USD,2200000
Liquidata,https://www.crunchbase.com/organization/liquidata,"Big Data, Blockchain, E-Commerce, Information Technology, Internet, Software","Liquidata is a software company that builds an open,transparent marketplace for data.","22,838",1-10,2019-01-16,2018-04-13,day,https://www.linkedin.com/company/liquidatainc/,https://www.liquidata.co,tim@liquidata.co,2063842191,,Timothy Sehn,Seed,Seed,,,1,Timothy Sehn,,,,,2000000,USD,2000000
Scurri,https://www.crunchbase.com/organization/scurri,"Delivery, E-Commerce, Shipping, Software, Transportation","Scurri is a simple, effective and adaptable API and dashboard built to optimise your ordering, shipping and delivery","22,969",11-50,2019-02-07,2010-04-19,day,http://www.linkedin.com/company/scurri,http://www.scurri.co.uk/,info@scurri.com,"+353 51 596044, +44 2036033123",,"Eugene Crehan, Josephine O'Connor, Rory O'Connor",Venture - Series Unknown,,,,3,"Enterprise Ireland, Episode 1, Act Venture Capital, Haatch, Pa Nolan",,,,,1340000,EUR,1519231
Tiesta Tea,https://www.crunchbase.com/organization/tiesta-tea,"E-Commerce, Tea, Wholesale",to create tea beverages with real ingredients that taste good and do good,"22,972",11-50,2019-04-15,2010-03-12,day,http://linkedin.com/tiestatea,http://www.tiestatea.com,info@tiestatea.com,312-202-6800,,"Dan Klein, Patrick Tannous",Convertible Note,Early Stage Venture,,,2,,,,,,1969104,USD,1969104
LetsBuy.com,https://www.crunchbase.com/organization/letsbuy-com,"Consumer Electronics, E-Commerce, Electronics",Letsbuy.com is an online media company operating a retail website of electronics.,"23,067",51-100,2019-01-01,2009-01-01,year,https://www.linkedin.com/company-beta/472482/,http://www.letsbuy.com,,,,"Amanpreet Bajaj, Hitesh Dhingra",Venture - Series Unknown,M&A,,,2,"Tiger Global Management, Accel, Helion Venture Partners, Smile Group",,,,,,,
Exclusively,https://www.crunchbase.com/organization/exclusively-in,"E-Commerce, Fashion, Jewelry, Shopping","Exclusively.In is a members-only shopping site for Indian-inspired fashion, jewelry and home decor.","23,115",51-100,2019-01-01,2010-01-01,year,,http://exclusively.in,service@exclusively.in,19178923949,,"Anu Duggal, Sunjay Guleria",Venture - Series Unknown,M&A,,,2,"Tiger Global Management, Accel, Mumbai Angels, Orios Venture Partners, Helion Venture Partners",,,,,,,
SHO Products,https://www.crunchbase.com/organization/sho-products-llc,"Agriculture, E-Commerce, Electronics, Fashion, Machinery Manufacturing, Manufacturing, Product Design, Retail",SHO Products is the leading equipment and technology provider in the world for solventless agricultural equipment ,"23,244",11-50,2019-04-08,2015-06-15,day,https://www.linkedin.com/company/sho-products/,https://www.shoproductsteam.com/,info@shoproductsteam.com,833-teamSHO (833-832-6746),,"Samuel Jurist, Vincent D’Accolti",Series A,Early Stage Venture,,,2,Ann Tenenbaum,,,,1,3600000,USD,3600000
Payfully,https://www.crunchbase.com/organization/payfully,"E-Commerce, Information Technology, Payments",Payfully provides financial services for the P2P rental market.,"23,437",11-50,2019-01-07,2016-01-01,year,https://www.linkedin.com/company/10516085,https://www.payfully.co/,info@payfully.co,,,"Alberto Sheinfeld, Daniela Birnbaum, Luis Scull",Venture - Series Unknown,,,,3,"Accomplice, Entrepreneurs Roundtable Accelerator, Moderne Ventures, NextView Ventures, Constance Freedman",,,,,,,
United Dwelling,https://www.crunchbase.com/organization/united-dwelling,"E-Commerce, Internet, Real Estate","Marketplace, Sharing Economy, Peer to Peer","23,520",11-50,2019-03-05,2018-04-01,month,,http://www.uniteddwelling.com,,3103935546,,Steven Dietz,Seed,Seed,,,1,,,,,,2200000,USD,2200000
Signature Market,https://www.crunchbase.com/organization/signature-snack,"Consumer Goods, E-Commerce, Fashion, Food and Beverage, Grocery, Personal Health, Retail",Signature Market is a direct to consumer natural & organic brand delivered direct to door. Signature Market is operating in South East Asia.,"23,783",11-50,2019-01-17,2014-10-01,day,https://www.linkedin.com/company-beta/6611846/,http://www.signaturemarket.co,contact@signaturesnack.com,+60323866020,,Edwin Wang,Series A,Early Stage Venture,,,1,"RHL Ventures, Axiata Digital Innovation Fund",,,,,1000000,USD,1000000
Wone,https://www.crunchbase.com/organization/wone-29ec,"Consumer Goods, E-Commerce, Fashion","Wone exists to create the best performance athletic wear in the world, without regard to cost.","24,171",1-10,2019-04-05,2018-01-01,month,,https://wearwone.com,ryan@wearwone.com,(949) 484-9663,,"Kristin Hildebrand, Ryan Hildebrand",Seed,Seed,,,2,"Bolt, Steve Barham",,,,,1355000,USD,1355000
Textual,https://www.crunchbase.com/organization/textual-relations,"Advertising, Artificial Intelligence, Big Data, E-Commerce, Social Media",Textual provides natural language generation for webshops and brands. Provided as a Saas service integrated in Shopify and PIM-systems.,"24,390",11-50,2019-02-10,2014-09-29,day,https://www.linkedin.com/company/textual-ab/about/,http://www.textual.ai,henrik@textual.ai,+46706806500,,Henrik Gemoll,Venture - Series Unknown,,,,1,,,,,,12000000,SEK,1294151
Planet SuperHeroes,https://www.crunchbase.com/organization/planet-superheroes,"Communities, E-Commerce, Internet",Planet Superheroes is India’s leading character merchandising company,"24,415",11-50,2019-04-12,2013-01-01,year,https://www.linkedin.com/company/planet-superheroes,http://www.planetsuperheroes.com/,care@planetsuperheroes.com,+912249426126,,"Jaineel Aga, Karan Rai, Sumit Shah",Series A,Early Stage Venture,,,3,"DSG Consumer Partners, AET Fund, Lead Angels Network, The Character Group PLC",,,,,2000000,USD,2000000
Rapawalk,https://www.crunchbase.com/organization/rapawalk,"E-Commerce, Fashion, Internet",Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"24,450",,2019-04-16,2017-01-01,year,https://www.linkedin.com/company/rapawalk/about/,https://www.rapawalk.com/,,,,"Aravind Maddireddy, Kashif Mohammad",Angel,Seed,,,2,"Ravi Garikipati, Raveen Sastry, Sanjay Ramakrishnan",,,,,24000000,INR,345170
juntoz.com,https://www.crunchbase.com/organization/juntoz-com,"B2B, Consumer Goods, E-Commerce, Fashion, Internet, Marketplace, PaaS, Retail, Retail Technology, SaaS","A PaaS, Juntoz.com develops & operates next-gen online shopping malls focused on opening brand stores and connecting them with consumers.","24,524",11-50,2019-05-15,2015-01-01,year,https://www.linkedin.com/company/juntoz,https://juntoz.com/,fernando@ieholding.com,,,Fernando D'Alessio,Convertible Note,Seed,,,1,,,,,,823000,USD,823000
GivingWay,https://www.crunchbase.com/organization/givingway,"E-Commerce, Internet, Internet of Things","GivingWay is an online marketplace through which nonprofit organizations engage with volunteers, donors and supporters across the globe.","24,590",1-10,2019-04-14,2015-01-01,year,https://www.linkedin.com/company/10345633,http://www.givingway.com/,community@givingway.com,,,"Alon Elish, Gigi Levy Weiss, Orit Strauss",Seed,Seed,,,3,,,,,,1000000,USD,1000000
Scout,https://www.crunchbase.com/organization/context-scout,"Artificial Intelligence, E-Commerce, Knowledge Management, Machine Learning, Natural Language Processing, Search Engine, Semantic Search, Semantic Web, Web Browsers",The world's first web browser chatbot,"24,890",1-10,2019-02-20,2015-11-19,day,https://www.linkedin.com/company/context-scout/,https://meetscout.co.uk,marc@contextscout.com,,,"Andy O'Harney, Marc Sloan",Convertible Note,Seed,,,2,"Entrepreneur First, Innovate UK, Episode 1, London Co-Investment Fund, Delin Ventures",,,,,400000,GBP,521783
Sindabad.com,https://www.crunchbase.com/organization/sindabad-com,E-Commerce,Sindabad.com is an online shopping place for anything and everything you need to run your office or factory. Best deals at best prices!,"25,408",101-250,2019-05-28,2016-01-01,year,https://www.linkedin.com/company/sindabad-com/,https://sindabad.com/,info@sindabad.com,0961-2002244,,"Asif Zahir, Zeeshan Huq",Series A,Early Stage Venture,,,2,"The Frontier Fund, Aavishkaar Frontier Fund",,,,,4150000,USD,4150000
BrandHouse Holding,https://www.crunchbase.com/organization/brandhouse-holding,"E-Commerce, Retail",We connect large online and offline retailers as well as small specialist online shops and brand owners,"25,996",11-50,2019-05-16,2017-04-21,day,https://www.linkedin.com/company/branddothouse/about/,http://brand.house,wbi@brand.house,00 44 79 1718 7124,,Lars Munch Johansen,Series A,Early Stage Venture,,,1,"IDC Ventures, China Renaissance Capital Investment, Cosmopolitan, Almondbox, KAP Partners",,,,,4000000,EUR,4469278
Shiptek Solutions Corporation,https://www.crunchbase.com/organization/shiptek-solutions-corporation,"E-Commerce, Logistics, Marketplace, Shipping",Creator of the shipping & logistics digital market-place called XLOG : an end-to-end solutions for exporters and importers across the globe.,"26,079",11-50,2019-05-02,2015-08-08,day,,https://www.xlog.net,info@myxlog.com,+6328479689,,Eugenio Jr. Ynion,Series A,Early Stage Venture,,,1,,,,,,10000000,USD,10000000
Forsake,https://www.crunchbase.com/organization/forsake,"E-Commerce, Fashion, Outdoors",Forsake designs and manufactures outdoor and casual footwear.,"26,196",1-10,2019-05-24,2011-01-01,year,https://www.linkedin.com/company/forsake/,https://www.forsake.com,info@forsake.com,,,"Jake Anderson, Sam Barstow",Seed,Seed,,,2,"CircleUp Growth Partners, 43North, Western New York Venture Association",,,,,1500000,USD,1500000
WOWBID,https://www.crunchbase.com/organization/wowbid,"Auctions, E-Commerce, Marketplace",WOWBID is a live stream auction marketplace featuring unique products & services.,"26,404",11-50,2019-04-25,2018-01-01,year,https://www.linkedin.com/company/wowbid/,http://www.wowbid.live/,cs@wowbid.live,622150138998,,Rafli Ridwan,Seed,Seed,,,1,,,,,,5000000,USD,5000000
Vendor Registry,https://www.crunchbase.com/organization/vendor-registry,"B2B, E-Commerce, GovTech, Information Technology, Internet, Small and Medium Businesses","Vendor Registry is a small company, but big on passion and drive.","26,514",11-50,2019-04-08,2011-01-01,year,http://www.linkedin.com/company/vendor-registry,http://vendorregistry.com/,info@vendorregistry.com,(844) 802-9202,,"Brian Strong, Chris Van Beke",Convertible Note,Seed,,,2,"Cantos, VentureSouth, Start Co., Chattanooga Renaissance Fund, XMi High Growth Development Fund",,,,,350000,USD,350000
Coindirect,https://www.crunchbase.com/organization/coindirect-47b2,"Blockchain, Cryptocurrency, E-Commerce, Internet, Payments","Our end-to-end crypto offering includes a peer-to-peer marketplace, wallet supporting 42 coins and an exchange supporting 15 trading pairs.","26,795",11-50,2019-02-21,2017-10-25,day,https://www.linkedin.com/company/coindirect-com,https://www.coindirect.com,marketing@coindirect.com,,,"Attila Bernariusz, Donald Jackson, Jesse Hemson-Struthers, Nic Haralambous, Stephen Young",Seed,Seed,,,5,"MakerDAO, Concentric, Blockchain Ventures",,,,,1500000,EUR,1701075
DeepStream Technologies,https://www.crunchbase.com/organization/deepstream-tech,"E-Commerce, Marketplace, Procurement",DeepStream Technologies is a secure cloud based procurement network for buyers and suppliers of equipment & services.,"26,894",11-50,2019-01-01,2016-05-27,day,https://www.linkedin.com/company/deepstreamtech,https://www.deepstreamtech.com/,info@deepstreamtech.com,,,"Adel Louertatani, David Carruthers, Jack Macfarlane, Yannis Drosidis",Pre-Seed,Seed,,,4,Techstars,,,,,800000,USD,800000
Immerss,https://www.crunchbase.com/organization/immerss,"E-Commerce, E-Commerce Platforms, Internet, Retail Technology","Anchored around live video, Immerss offers a suite of engagement and monetization tools designed for D2C brands.","27,052",1-10,2019-03-01,2015-01-01,year,https://www.linkedin.com/company/immerss-com,https://immerss.live/,investorrelations@immerss.com,,,"Alex Wilner, Arthur Veytsman",Series A,Early Stage Venture,,,2,,,,,,1000000,USD,1000000
Capsul Jewelry,https://www.crunchbase.com/organization/capsul-jewelry,"3D Printing, 3D Technology, Consumer, E-Commerce, Fashion, Jewelry",Capsul Jewelry is a D2C brand focused on premium customized jewelry in the accessible luxury segment.,"27,121",,2019-03-01,2017-01-01,year,,https://capsuljewelry.com/,,,,Tina Cheng,Seed,Seed,,,1,"Wavemaker Partners, LAUNCH, Dorcas Investments",,,,,100000,USD,100000
WeGet,https://www.crunchbase.com/organization/weget,"Beauty, E-Commerce",WeGet is a Los Angeles based social e-commerce platform.,"27,259",,2019-02-22,2018-12-01,month,,https://www.weget.com/home,,,,,Series A,Early Stage Venture,,,,"K2VC, BV Investment Partners",,,,,3000000,USD,3000000
